Job,TotalProject,ProgrammingSkills,Framework,DatabaseSkills,ToolsSkills,Description
Business Intelligence Developer, 13,"['SQL', 'Python', 'R']","['PowerBI', 'Tableau', 'Hadoop']","['SQL Server', 'Oracle', 'MySQL']","['PowerBI', 'Tableau', 'SSIS', 'SSRS', 'Excel', 'Git']", "A business intelligence developer is in charge of generating, organizing, and maintaining business interfaces. These include dashboards, data visualizations, regular and impromptu reports, and data querying tools for users to get the information they require."
Business Intelligence Developer, 9,"['SQL', 'Python', 'R']","['PowerBI', 'Tableau']","['SQL Server', 'Supabase', 'MySQL']","['PowerBI', 'Tableau', 'SSIS', 'SSRS', 'Excel', 'Git']","A business intelligence developer is in charge of generating, organizing, and maintaining business interfaces. These include dashboards, data visualizations, regular and impromptu reports, and data querying tools for users to get the information they require."
Quantitative Analyst,8,"['Python', 'R', 'Matlab', 'SQL']","['Pandas', 'NumPy', 'Scikit-learn', 'Matplotlib']","['PostgreSQL', 'MySQL', 'SQL Server']","['Excel', 'Jupyter Notebook', 'RStudio', 'Git', 'Bloomberg Terminal']","a professional who uses mathematical and statistical methods to help companies make financial and business decisions. They develop and implement models to help with issues like pricing, investments, and risk management."
Quantitative Analyst,6,"['Python', 'C++', 'R', 'SQL']","['TensorFlow', 'Scikit-learn', 'Pandas', 'Flask']","['MySQL', 'PostgreSQL', 'SQLite']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'AWS S3', 'GitHub', 'Docker', 'Matplotlib']", "a professional who uses mathematical and statistical methods to help companies make financial and business decisions. They develop and implement models to help with issues like pricing, investments, and risk management."
Quantitative Analyst,3,"['Python']","['TensorFlow', 'Scikit-learn']","['MySQL', 'PostgreSQL', 'SQLite']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'AWS S3', 'GitHub', 'Docker', 'Matplotlib']", "a professional who uses mathematical and statistical methods to help companies make financial and business decisions. They develop and implement models to help with issues like pricing, investments, and risk management."
Quantitative Analyst,5,"['Python', 'R']","['TensorFlow', 'Scikit-learn']","['MySQL', 'PostgreSQL', 'SQLite']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'AWS S3', 'GitHub','Matplotlib']", "a professional who uses mathematical and statistical methods to help companies make financial and business decisions. They develop and implement models to help with issues like pricing, investments, and risk management."
Quantitative Analyst,8,"['Python', 'R', 'Java', 'C++']","['TensorFlow', 'Scikit-learn']","['MySQL', 'PostgreSQL', 'SQLite', 'MongoDB']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'AWS S3', 'GitHub','Matplotlib']","a professional who uses mathematical and statistical methods to help companies make financial and business decisions. They develop and implement models to help with issues like pricing, investments, and risk management."
Data Manager,12,"['Python', 'SQL', 'R', 'Java']","['Oracle Data Integrator', 'Informatica', 'Talend']","['Oracle', 'SQL Server', 'PostgreSQL']","['Tableau', 'PowerBI', 'Excel', 'AWS RDS', 'Google Cloud SQL']", "a professional who oversees the development and use of data systems, ensuring effective data management, secure procedures, and data analysis."
Data Manager,4,"['Python', 'R', 'SQL', 'Scala']","['TensorFlow', 'Keras', 'Flask', 'Airflow']","['PostgreSQL', 'MongoDB', 'Cassandra']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'AWS S3', 'GitLab', 'Docker', 'Tableau']","a professional who oversees the development and use of data systems, ensuring effective data management, secure procedures, and data analysis."
Data Manager,2,"['Python', 'SQL']","['TensorFlow', 'Keras', 'Flask']","['PostgreSQL','Cassandra']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn','Tableau']", "a professional who oversees the development and use of data systems, ensuring effective data management, secure procedures, and data analysis."
Data Manager,6,"['Python', 'SQL', 'R', 'Java']","['Oracle Data Integrator', 'Informatica', 'Talend']","['Oracle', 'SQL Server', 'PostgreSQL']","['Tableau', 'PowerBI', 'Excel', 'AWS RDS', 'Google Cloud SQL']", "a professional who oversees the development and use of data systems, ensuring effective data management, secure procedures, and data analysis."
Data Manager,9,"['Python', 'SQL', 'R']","['Django', 'Flask']","['Oracle', 'SQL Server', 'PostgreSQL', 'MongoDB']","['Tableau', 'PowerBI', 'Excel', 'AWS RDS', 'Google Cloud SQL']", "a professional who oversees the development and use of data systems, ensuring effective data management, secure procedures, and data analysis."

